zip_code,location,infected
26a15937-06b6-48c8-8a44-eac8b9552cf5,Vitória,false
3ba1d53d-9731-4934-9bf6-77a3c0e1012f,Saint-Denis,false
f3f0c05e-e24d-402c-adfe-8148c079fc8f,Barranquilla,false
2348858b-80cf-45bf-8498-71bd1a1dce5b,Lahore,false
39dda52c-31d3-4032-ad1d-60af531e3361,Bishkek,false
bad58181-a48e-49d3-a65f-a7ea0ef18053,Qingdao,false
6a6b1076-c1fd-46a4-b94a-90b60cb6916a,Yerevan,false
7810a246-27a2-456f-bd71-50fdec2489e9,Sofia,false
4251253f-636f-4850-bbfe-d99fc4882999,Jamestown,false
300927d1-8f7e-4681-bdc3-3953b1d2e7af,Islamabad,false
6b1091b8-8631-4b70-8f9f-5f5dbae367e7,Stockholm,false
d4781110-71de-4c13-ab65-ce4a25a3a00a,Shenyang,false
01abb045-5391-4ee7-a734-8fec535bd8cb,Cuiabá,false
312c7185-a396-48fc-b1e8-2fe7fe3cbf36,Serekunda,false
b6328bb3-e85a-4e61-9d27-943f5dc4efca,Columbus,false
d77cf8fc-bcc0-4449-83bd-edf80f2945f1,Nassau,false
1a8af463-2b0a-45ef-8d4d-a620443cd740,Macapá,false
da68b2ed-2196-4268-aaa4-9c957ed1eca1,Marseille,false
c9d14b1e-af0b-4ae7-9415-10db4b8c83d3,Beirut,false
e859a239-41f7-4f0f-ba94-8fee048aba7a,Kaliningrad,false
2e987373-f026-489a-8c16-6b8c48b58b51,Malmö,false
726729d7-9b9c-41df-a3e5-df380a9d282d,Yellowknife,false
324ee798-9a72-44b6-95d2-241d0f6741d4,Kuching,false
8605fcfd-3849-45d1-a49a-58e3c6d6ffd8,Zagreb,false
d67f0262-39d4-42a2-9840-4ba471824087,Bogor,false
2a5c2462-8650-4115-9a92-31295a903e35,Xi'an,false
eb49de3b-399f-4b87-b3e6-1a4080ee6a55,Sarajevo,false
49d84d3b-986f-4b90-a937-5bd30af717a7,Muscat,false
ab8086d9-4e0f-43ff-b0f0-7aca59645251,Livingstone,false
c55ca7e2-8b4c-49fc-836f-4b60fea7fb51,Alexandria,false
fa11c1af-39ba-4871-830f-956da698a412,Winnipeg,false
4efbb92c-aad6-4001-9b4b-79abe6dee8e1,Guwahati,false
0f70f2e8-dbe8-4a79-acbd-b068d6fccdeb,Rosario,false
85647454-79dc-402d-a8da-54aca3ccc90f,Santiago de Cuba,false
951d2bb2-771e-45c0-97e7-e09f78b12bb7,Suva,false
95c17070-5a33-4d3e-8d51-c4d39fdc89f9,Addis Ababa,false
4dbf64e7-8f0f-449d-a518-e7e60b3b8e0e,Ottawa,false
a2dc455d-5462-4108-adee-1968be11c879,Chişinău,false
ce93c714-5ffe-46f5-8c19-e6c20f90ccdb,Chicago,false
d33f5880-a6cd-4da1-8ca3-c1769097d3e2,Bangkok,false
53203aca-4b70-4597-bc8e-d07ae51fa75b,Xi'an,false
a2ff274d-441c-4534-b33b-d18bbb7fff22,Funafuti,false
4925927d-6883-454b-a077-436fe42f07be,Jinan,false
e0248235-90d2-4573-a84e-0ae36bbad90b,Jayapura,false
1e30778d-8fee-4d67-a416-269aadc1e89d,Hanga Roa,false
bdd3c637-2d4a-4499-b70e-613e2bd03b7e,Monterrey,false
2a7526c6-51a8-4633-8cc6-a16a85d11d27,Moroni,false
f2e92512-ed18-43d0-b382-0549080a22be,Hyderabad,false
5a2b64f4-5ad5-4272-9e3c-e81373c1dc3d,Thiès,false
8ad02d5e-c325-4bbf-8f1f-88b12fb30a0d,Guayaquil,false
c9cd0596-ce57-44de-b374-4181bf5418bd,Ushuaia,false
f1bc4057-5754-40da-b117-e7de0787f962,Jerusalem,false
5e989d9a-d32a-43cf-a920-550a2e4c5a30,Pune,false
ca903440-522c-4d99-a061-a5492d8ef716,Darwin,false
c68cbfa7-2692-448d-8e3e-be6d8db2847a,Tskhinvali,false
a961ad9d-98eb-4f6b-94f3-2ab4cc14a119,Sarajevo,false
8fabb828-16b4-4b71-a7b7-3ab48582a518,Astana,false
229ad667-14b9-42f3-b275-36bd3d0412a6,Tel Aviv,false
6fc641de-9e92-474c-9e98-38afafe9565b,Tamale,false
8cefcc41-70ba-41f1-ab4b-5cb29bd059d9,Ulan Bator,false
